Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
acc-ec-8mm-1,A109 ACC EC-8MM-1 End Cap for 8MM COB/SMD strip,Title,Default Title,,,,,+ACC EC-8MM-1,,,,,,,,,,0
acc-elcb-ce240b,HAGER CE240B 40A 100MA 2P ELCB,Title,Default Title,,,,,+ACC ELCB CE240B,,,,,,,,,,0
acc-elcb240b,HAGER CD240B 40A 30MA 2P ELCB,Title,Default Title,,,,,+ACC ELCB240B,,,,,,,,,,0
acc-fl-bk-switch,FLOOR LAMP SWITCH BK (ON-OFF),Title,Default Title,,,,,+ACC FL/BK SWITCH,,,,,,,,,,17
acc-fl-wh-switch,FLOOR LAMP SWITCH WHITE (ON-OFF),Title,Default Title,,,,,+ACC FL/WH SWITCH,,,,,,,,,,7
acc-glass-bits,GLASS CRYSTAL BITS,Title,Default Title,,,,,+ACC GLASS BITS,,,,,,,,,,160
acc-holder-3xe27,3XE27 BLACK LAMPHOLDER -LF,Title,Default Title,,,,,+ACC HOLDER 3XE27,,,,,,,,,,297
acc-holder-3xe2-7wh,3XE27 WHITE LAMPHOLDER -LF,Title,Default Title,,,,,+ACC HOLDER 3XE2 7WH,,,,,,,,,,0
acc-holder-4xe27,4XE27 BLACK LAMPHOLDER -LF,Title,Default Title,,,,,+ACC HOLDER 4XE27,,,,,,,,,,12
acc-holder-4xe2-7wh,4 X E27 WHITE LAMPHOLDER -LF,Title,Default Title,,,,,+ACC HOLDER 4XE2 7WH,,,,,,,,,,73
acc-holder-5xe27,5XE27 BLACK LAMPHOLDER -LF,Title,Default Title,,,,,+ACC HOLDER 5XE27,,,,,,,,,,2
acc-holder-5xe2-7wh,5 X E27 WHITE LAMPHOLDER -LF,Title,Default Title,,,,,+ACC HOLDER 5XE2 7WH,,,,,,,,,,55
acc-ip-sc-2pin-8m-m-b,A109 ACC IP-SC-2PIN-8MM-B Waterproof puncture: single end,Title,Default Title,,,,,+ACC IP-SC-2PIN-8M M-B,,,,,,,,,,0
acc-ip-sc-2pin-8m-m-c,A109 ACC IP-SC-2PIN-8MM-C Waterproof puncture: middle,Title,Default Title,,,,,+ACC IP-SC-2PIN-8M M-C,,,,,,,,,,0
acc-ip-sc-2pin-8m-m-l,A109 ACC IP-SC-2PIN-8MM-L Waterproof L connector for 8mm,Title,Default Title,,,,,+ACC IP-SC-2PIN-8M M-L,,,,,,,,,,0
acc-mcb240b6-hg,HAGER MT240 MCB DP 40A 'B' 6KA,Title,Default Title,,,,,+ACC MCB240B6.HG,,,,,,,,,,0
acc-pole750,"GALVANIZED STEEL POLE PU BLACK (H750mm, Dia60mm)-",Title,Default Title,,,,,+ACC POLE750,,,,,,,,,,0
acc-sc-2pin-5mm-l,A109 ACC L connector for 5MM IP20 COB strip 2Pin,Title,Default Title,,,,,+ACC SC-2PIN-5MM-L,,,,,,,,,,0
acc-sc-2pin-5mm-str,A109 ACC clear connector for 5MM COB strip 2PIN STRAIGHT,Title,Default Title,,,,,+ACC SC-2PIN-5MM-STR,,,,,,,,,,0
acc-sc-2pin-5mm-t,A109 ACC T connector for 5MM IP20 COB strip 2 Pin,Title,Default Title,,,,,+ACC SC-2PIN-5MM-T,,,,,,,,,,0
acc-screened-ca-ble,ACC SCREENED CABLE,Title,Default Title,,,,,+ACC SCREENED CA BLE,,,,,,,,,,3000
acc-sleeve-gd,CANDLE SLEEVE (GOLD) 25X55MM,Title,Default Title,,,,,+ACC SLEEVE GD,,,,,,,,,,24
acc-spike-globe,SPIKE FOR GLOBE (D60MM),Title,Default Title,,,,,+ACC SPIKE (GLOBE),,,,,,,,,,0
acc-steel-wire,STEEL WIRE (METRE)-IID,Title,Default Title,,,,,+ACC STEEL WIRE,,,,,,,,,,1729
acc-tl-std-base,Silver Stand(Ht300mm) & Base(Dia193mm) for,Title,Default Title,,,,,+ACC TL STD/BASE,,,,,,,,,,3
acc-tl-bk-switch,TABLE LAMP SWITCH BK (ON-OFF),Title,Default Title,,,,,+ACC TL/BK SWITCH,,,,,,,,,,39
acc-tl-cl-switch,TABLE LAMP SWITCH CLEAR (ON-OFF),Title,Default Title,,,,,+ACC TL/CL SWITCH,,,,,,,,,,29
acc-tl-dimmer-bk,TABLE LAMP DIMMER SWITCH (BLACK),Title,Default Title,,,,,+ACC TL/DIMMER BK,,,,,,,,,,21
acc-tl-dimmer-cl,TABLE LAMP DIMMER SWITCH (CLEAR),Title,Default Title,,,,,+ACC TL/DIMMER CL,,,,,,,,,,40
acc-tl-dimmer-gd,TABLE LAMP DIMMER SWITCH (GOLD),Title,Default Title,,,,,+ACC TL/DIMMER GD,,,,,,,,,,15
acc-tl-dimmer-wh,TABLE LAMP DIMMER SWITCH (WHITE),Title,Default Title,,,,,+ACC TL/DIMMER WH,,,,,,,,,,10
acc-u-clip,U-CLIP (AAG),Title,Default Title,,,,,+ACC U-CLIP,,,,,,,,,,6
acc-wire,WIRE (ACC.),Title,Default Title,,,,,+ACC WIRE,,,,,,,,,,0
acc-wire-gold,VDE 3 CORE GOLD WIRE(METRE) - NW,Title,Default Title,,,,,+ACC WIRE GOLD,,,,,,,,,,102
b-dk-11e,DK-11E ELECTRONIC SWITCH (A73),Title,Default Title,,,,,+B DK-11E,,,,,,,,,,9
b-eb-cdmtm20w-ph,ELECTRONIC BALLAST HID-PVM 020/CDM HPF FOR CDM-,Title,Default Title,,,,,+B EB CDMTM20W PH,,,,,,,,,,0
b-eb-fbc136,ELECTRONIC BALLAST FBC 1X36W - VOSSLOH,Title,Default Title,,,,,+B EB FBC136,,,,,,,,,,0
b-eb-fbc236-vos,ELECTRONIC BALLAST FBC 2X36W - VOSSLOH,Title,Default Title,,,,,+B EB FBC236 VOS,,,,,,,,,,0
b-eb-t5-2x28-54-da-li,TRIDONIC PCA ELECTRONIC BALLAST 2X28/54 T5 ECO IP -,Title,Default Title,,,,,+B EB T5 2X28/54 DA LI,,,,,,,,,,0
b-eb-t5-he,ELECTRONIC BALLAST T5/EL1X14-35W - HELVAR,Title,Default Title,,,,,+B EB T5 HE,,,,,,,,,,37
b-eb-t5-114-vos,VOS-SWB ELECTRONIC BALLAST T5 ELXC 1x14W,Title,Default Title,,,,,+B EB T5/114 VOS,,,,,,,,,,2
b-eb-t5-128-vos,VOS-SWB ELECTRONIC BALLAST T5 1x28W (540499),Title,Default Title,,,,,+B EB T5/128 VOS,,,,,,,,,,0
b-eb-t5-14w-philips,ELECTRONIC BALLAST T5 14W - PHILIPS (EBC 9137 131,Title,Default Title,,,,,+B EB T5/14W PHILIPS,,,,,,,,,,9
b-eb-t5-14w-28w,T5 14W-28W (5028) ELECTRONIC BALLAST (BENTE),Title,Default Title,,,,,+B EB T5/14W-28W,,,,,,,,,,142
b-eb-t5-214w-phili-ps,ELECTRONIC BALLAST T5 2X14W PHILIPS (EB-C214TL5),Title,Default Title,,,,,+B EB T5/214W PHILI PS,,,,,,,,,,0
b-eb-t5-21w-philips,ELECTRONIC BALLAST T5 21W - PHILIPS,Title,Default Title,,,,,+B EB T5/21W PHILIPS,,,,,,,,,,9
b-eb-t5-228-vos,VOS-SWB ELECTRONIC BALLAST FBC-228 T5 2x28W,Title,Default Title,,,,,+B EB T5/228 VOS,,,,,,,,,,0
