Handle,Title,Description,Vendor,Status,Published on online store,SKU,Option1 Name,Option1 Value,Option2 Value,Option3 Value,Price,Cost per item,Inventory tracker,Inventory quantity,Continue selling when out of stock,Requires shipping,Fulfillment service,Tags,RLF inventory (product.metafields.custom.rlf_inventory),IMM inventory (product.metafields.custom.imm_inventory),Wholesale price (product.metafields.custom.wholesale_price),Legacy WHSE (product.metafields.custom.legacy_whse)
xm-16-opal,"XM 16"" (400MM) OPAL GLOBE",,LITE,draft,false,XM 16 OPAL,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
xm-16-smoke,"XM 16""(400MM)-6004 SMOKE GLOBE",,LITE,draft,false,XM 16 SMOKE,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
xm-20-opal,"XM 20"" (500MM) OPAL GLOBE",,LITE,draft,false,XM 20 OPAL,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
xm-6920-1200mm,XM 6920/1200MM POLE ONLY,,LITE,draft,false,XM 6920/1200MM,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
xm-6949,XM 6949 LOUVRE,,LITE,draft,false,XM 6949,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
xm-6960-base,XM 6960 BASE ONLY,,LITE,draft,false,XM 6960 BASE,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
xm-6960-180mm,XM 6960 BASE C/E 180MM POLE,,LITE,draft,false,XM 6960/180MM,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
xm-6961-1-stand,XM 6961/1 STAND,,LITE,active,true,XM 6961/1 STAND,Default Title,Default Title,,,25,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xm-8-opal,"XM NIBA 8"" (250MM) GLOBE OPAL",,LITE,active,true,XM 8 OPAL,Default Title,Default Title,,,50,17,shopify,1,deny,true,manual,legacy-import,-1,0,0,1
xm-8-smoke,"XM 8"" (250MM) GLOBE SMOKE",,LITE,draft,false,XM 8 SMOKE,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",1,0,0,0
xm-casarano-teh-o-400w,CASARANO TEHO 400W C/W NDL LAMP AND GEAR,,LITE,draft,false,XM CASARANO TEH O/400W,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
xm-gdlwl3530-wh,XM GDL WL 3530 (NIBA) White (E27) - BULKHEAD,,LITE,active,true,XM GDLWL3530 WH,Default Title,Default Title,,,115,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
xm-gdlwl3531-bk,XM GDL WL3521 BK (NIBA SIRIO) - E27,,LITE,draft,false,XM GDLWL3531 BK,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",1,0,0,0
