Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
acc-ip-sc-2pin-8m-m-l,A109 ACC IP-SC-2PIN-8MM-L Waterproof L connector for 8mm,Default Title,Default Title,,,,,+ACC IP-SC-2PIN-8M M-L,,,123 William Street,,,,,,,0
acc-mcb240b6-hg,HAGER MT240 MCB DP 40A 'B' 6KA,Default Title,Default Title,,,,,+ACC MCB240B6.HG,,,123 William Street,,,,,,,0
acc-pole750,"GALVANIZED STEEL POLE PU BLACK (H750mm, Dia60mm)-",Default Title,Default Title,,,,,+ACC POLE750,,,123 William Street,,,,,,,0
acc-sc-2pin-5mm-l,A109 ACC L connector for 5MM IP20 COB strip 2Pin,Default Title,Default Title,,,,,+ACC SC-2PIN-5MM-L,,,123 William Street,,,,,,,0
acc-sc-2pin-5mm-str,A109 ACC clear connector for 5MM COB strip 2PIN STRAIGHT,Default Title,Default Title,,,,,+ACC SC-2PIN-5MM-STR,,,123 William Street,,,,,,,0
acc-sc-2pin-5mm-t,A109 ACC T connector for 5MM IP20 COB strip 2 Pin,Default Title,Default Title,,,,,+ACC SC-2PIN-5MM-T,,,123 William Street,,,,,,,0
acc-screened-ca-ble,ACC SCREENED CABLE,Default Title,Default Title,,,,,+ACC SCREENED CA BLE,,,123 William Street,,,,,,,3000
acc-sleeve-gd,CANDLE SLEEVE (GOLD) 25X55MM,Default Title,Default Title,,,,,+ACC SLEEVE GD,,,123 William Street,,,,,,,24
acc-spike-globe,SPIKE FOR GLOBE (D60MM),Default Title,Default Title,,,,,+ACC SPIKE (GLOBE),,,123 William Street,,,,,,,0
acc-steel-wire,STEEL WIRE (METRE)-IID,Default Title,Default Title,,,,,+ACC STEEL WIRE,,,123 William Street,,,,,,,1729
acc-tl-std-base,Silver Stand(Ht300mm) & Base(Dia193mm) for,Default Title,Default Title,,,,,+ACC TL STD/BASE,,,123 William Street,,,,,,,3
acc-tl-bk-switch,TABLE LAMP SWITCH BK (ON-OFF),Default Title,Default Title,,,,,+ACC TL/BK SWITCH,,,123 William Street,,,,,,,39
