Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text
dt-5212-oro,DT 5212 ORO,<p>DT 5212 ORO</p><table><tbody><tr><th>source row</th><td>9455</td></tr><tr><th>code</th><td>DT 5212 ORO</td></tr><tr><th>description</th><td>DT 5212 ORO</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>88.4</td></tr><tr><th>retail price</th><td>106</td></tr><tr><th>w. sale price</th><td>106</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 5212 ORO,0,shopify,0,deny,manual,106,,true,true,,,
dt-5215-wh,DT 5215 WHITE,<p>DT 5215 WHITE</p><table><tbody><tr><th>source row</th><td>9456</td></tr><tr><th>code</th><td>DT 5215 WH</td></tr><tr><th>description</th><td>DT 5215 WHITE</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>-2</td></tr><tr><th>rlf</th><td>1</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>74</td></tr><tr><th>retail price</th><td>178</td></tr><tr><th>w. sale price</th><td>89</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt, legacy-negative-whse",false,Title,Default Title,,,,,DT 5215 WH,0,shopify,0,deny,manual,178,,true,true,,,
dt-5216-bk,DT 5216 BLACK,<p>DT 5216 BLACK</p><table><tbody><tr><th>source row</th><td>9457</td></tr><tr><th>code</th><td>DT 5216 BK</td></tr><tr><th>description</th><td>DT 5216 BLACK</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>1</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>75</td></tr><tr><th>retail price</th><td>178</td></tr><tr><th>w. sale price</th><td>89</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 5216 BK,0,shopify,0,deny,manual,178,,true,true,,,
dt-5217,DT 5217,<p>DT 5217</p><table><tbody><tr><th>source row</th><td>9458</td></tr><tr><th>code</th><td>DT 5217</td></tr><tr><th>description</th><td>DT 5217</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>72</td></tr><tr><th>retail price</th><td>205</td></tr><tr><th>w. sale price</th><td>93</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 5217,0,shopify,0,deny,manual,205,,true,true,,,
dt-530125-n,DT 530125 NOGAL (2xE14) FLOOR LAMP,<p>DT 530125 NOGAL (2xE14) FLOOR LAMP</p><table><tbody><tr><th>source row</th><td>9459</td></tr><tr><th>code</th><td>DT 530125 N</td></tr><tr><th>description</th><td>DT 530125 NOGAL (2xE14) FLOOR LAMP</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>141</td></tr><tr><th>retail price</th><td>489</td></tr><tr><th>w. sale price</th><td>222</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 530125 N,0,shopify,0,deny,manual,489,,true,true,,,
dt-530125-ne,DT 530125 NERO,<p>DT 530125 NERO</p><table><tbody><tr><th>source row</th><td>9460</td></tr><tr><th>code</th><td>DT 530125 NE</td></tr><tr><th>description</th><td>DT 530125 NERO</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>141</td></tr><tr><th>retail price</th><td>489</td></tr><tr><th>w. sale price</th><td>222</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 530125 NE,0,shopify,0,deny,manual,489,,true,true,,,
dt-540191,DT 540191 GOLD,<p>DT 540191 GOLD</p><table><tbody><tr><th>source row</th><td>9461</td></tr><tr><th>code</th><td>DT 540191</td></tr><tr><th>description</th><td>DT 540191 GOLD</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>88</td></tr><tr><th>retail price</th><td>253</td></tr><tr><th>w. sale price</th><td>115</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 540191,0,shopify,0,deny,manual,253,,true,true,,,
dt-540207-gd,DT 540207 GOLD,<p>DT 540207 GOLD</p><table><tbody><tr><th>source row</th><td>9462</td></tr><tr><th>code</th><td>DT 540207 GD</td></tr><tr><th>description</th><td>DT 540207 GOLD</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>70</td></tr><tr><th>retail price</th><td>180</td></tr><tr><th>w. sale price</th><td>91</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 540207 GD,0,shopify,0,deny,manual,180,,true,true,,,
dt-540209,DT 540209,<p>DT 540209</p><table><tbody><tr><th>source row</th><td>9463</td></tr><tr><th>code</th><td>DT 540209</td></tr><tr><th>description</th><td>DT 540209</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>87</td></tr><tr><th>retail price</th><td>195</td></tr><tr><th>w. sale price</th><td>133</td></tr></tbody></table>,,DT,"legacy-import, legacy-type-dt",true,Title,Default Title,,,,,DT 540209,0,shopify,0,deny,manual,195,,true,true,,,
dtl-acc-lamp-adap-tor,DAVID TRUBRIDGE KOURA LAMP ADAPTOR BLACK,<p>DAVID TRUBRIDGE KOURA LAMP ADAPTOR BLACK</p><table><tbody><tr><th>source row</th><td>9464</td></tr><tr><th>code</th><td>DTL ACC LAMP ADAP TOR</td></tr><tr><th>description</th><td>DAVID TRUBRIDGE KOURA LAMP ADAPTOR BLACK</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>3</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0</td></tr><tr><th>retail price</th><td>0</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,,DTL,"legacy-import, legacy-type-dtl, legacy-zero-retail",false,Title,Default Title,,,,,DTL ACC LAMP ADAP TOR,0,shopify,0,deny,manual,0,,true,true,,,
dtl-acc-lamp-base,DAVID TRUBRIDGE LAMP BASE/ TL STAND E27 RD,<p>DAVID TRUBRIDGE LAMP BASE/ TL STAND E27 RD</p><table><tbody><tr><th>source row</th><td>9465</td></tr><tr><th>code</th><td>DTL ACC LAMP BASE</td></tr><tr><th>description</th><td>DAVID TRUBRIDGE LAMP BASE/ TL STAND E27 RD</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>3</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0</td></tr><tr><th>retail price</th><td>0</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,,DTL,"legacy-import, legacy-type-dtl, legacy-zero-retail",false,Title,Default Title,,,,,DTL ACC LAMP BASE,0,shopify,0,deny,manual,0,,true,true,,,
dtl-beau-small-nat,DAVID TRUBRIDGE BEAU SMALL BAMBOO (E27) *D,<p>DAVID TRUBRIDGE BEAU SMALL BAMBOO (E27) *D</p><table><tbody><tr><th>source row</th><td>9466</td></tr><tr><th>code</th><td>DTL BEAU SMALL NAT</td></tr><tr><th>description</th><td>DAVID TRUBRIDGE BEAU SMALL BAMBOO (E27) *D</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0</td></tr><tr><th>retail price</th><td>500.934</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,,DTL,"legacy-import, legacy-type-dtl",true,Title,Default Title,,,,,DTL BEAU SMALL NAT,0,shopify,0,deny,manual,500.934,,true,true,,,
dtl-bol-crystal-birch,DAVID TRUBRIDGE BASKET OF LIGHT - CRYSTAL BIRCH (E27),<p>DAVID TRUBRIDGE BASKET OF LIGHT - CRYSTAL BIRCH (E27)</p><table><tbody><tr><th>source row</th><td>9467</td></tr><tr><th>code</th><td>DTL BOL-CRYSTAL BIRCH</td></tr><tr><th>description</th><td>DAVID TRUBRIDGE BASKET OF LIGHT - CRYSTAL BIRCH (E27)</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0</td></tr><tr><th>retail price</th><td>1879.44</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,,DTL,"legacy-import, legacy-type-dtl",true,Title,Default Title,,,,,DTL BOL-CRYSTAL BIRCH,0,shopify,0,deny,manual,1879.44,,true,true,,,
dtl-bol-leaf-birch,DAVID TRUBRIDGE BASKET OF LIGHT - LEAF BIRCH (E27) *D,<p>DAVID TRUBRIDGE BASKET OF LIGHT - LEAF BIRCH (E27) *D</p><table><tbody><tr><th>source row</th><td>9468</td></tr><tr><th>code</th><td>DTL BOL-LEAF BIRCH</td></tr><tr><th>description</th><td>DAVID TRUBRIDGE BASKET OF LIGHT - LEAF BIRCH (E27) *D</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0</td></tr><tr><th>retail price</th><td>1879.44</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,,DTL,"legacy-import, legacy-type-dtl",true,Title,Default Title,,,,,DTL BOL-LEAF BIRCH,0,shopify,0,deny,manual,1879.44,,true,true,,,
dtl-bol-wave-birch,DAVID TRUBRIDGE BASKET OF LIGHT - WAVE BIRCH (E27) *D,<p>DAVID TRUBRIDGE BASKET OF LIGHT - WAVE BIRCH (E27) *D</p><table><tbody><tr><th>source row</th><td>9469</td></tr><tr><th>code</th><td>DTL BOL-WAVE BIRCH</td></tr><tr><th>description</th><td>DAVID TRUBRIDGE BASKET OF LIGHT - WAVE BIRCH (E27) *D</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0</td></tr><tr><th>retail price</th><td>1879.44</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,,DTL,"legacy-import, legacy-type-dtl",true,Title,Default Title,,,,,DTL BOL-WAVE BIRCH,0,shopify,0,deny,manual,1879.44,,true,true,,,
dtl-cloud-l-bb,DAVID TRUBRIDGE CLOUD LARGE BAMBOO PLY (E27) -,<p>DAVID TRUBRIDGE CLOUD LARGE BAMBOO PLY (E27) -</p><table><tbody><tr><th>source row</th><td>9470</td></tr><tr><th>code</th><td>DTL CLOUD L BB</td></tr><tr><th>description</th><td>DAVID TRUBRIDGE CLOUD LARGE BAMBOO PLY (E27) -</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>-1</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0</td></tr><tr><th>retail price</th><td>3066</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,,DTL,"legacy-import, legacy-type-dtl, legacy-negative-whse",false,Title,Default Title,,,,,DTL CLOUD L BB,0,shopify,0,deny,manual,3066,,true,true,,,
dtl-cloud-s-wh,DAVID TRUBRIDGE CLOUD SMALL BAMBOO/WHITE (E27) -,<p>DAVID TRUBRIDGE CLOUD SMALL BAMBOO/WHITE (E27) -</p><table><tbody><tr><th>source row</th><td>9471</td></tr><tr><th>code</th><td>DTL CLOUD S WH</td></tr><tr><th>description</th><td>DAVID TRUBRIDGE CLOUD SMALL BAMBOO/WHITE (E27) -</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>0</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0</td></tr><tr><th>retail price</th><td>3105</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,,DTL,"legacy-import, legacy-type-dtl",true,Title,Default Title,,,,,DTL CLOUD S WH,0,shopify,0,deny,manual,3105,,true,true,,,
